satisfaction,important_recognitionAchievements,satisfied_careerAdvance,satisfied_recognitionAchievements,age,gender,ethnicity,country
5,Extremely important,4,4,61-70 years,Male,Hispanic / Latino,Argentina
2,Extremely important,4,4,22-25 years,Male,White,United States
4,Extremely important,4,2,41-50 years,Female,White,United Kingdom
5,Extremely important,4,5,31-40 years,Male,Asian,United States
3,Extremely important,2,4,I’d prefer not to say,Female,I’d prefer not to say,Canada
4,Extremely important,2,5,31-40 years,Female,White,United Kingdom
4,Extremely important,1,1,26-30 years,Female,White,Italy
2,Extremely important,2,4,51-60 years,Male,Hispanic / Latino,Brazil
4,Extremely important,4,4,31-40 years,Female,White,United States
4,Somewhat important,4,5,26-30 years,Male,White,Italy
2,Somewhat important,4,5,31-40 years,Male,Hispanic / Latino,Mexico
1,Somewhat important,4,4,41-50 years,Male,White,Serbia
4,Somewhat important,4,4,41-50 years,Male,White,Greece
4,Somewhat important,4,4,51-60 years,Male,White,Germany
3,Somewhat important,4,4,26-30 years,Male,Asian,Sri Lanka
4,Somewhat important,4,4,26-30 years,Male,White,Poland
3,Somewhat important,5,5,41-50 years,Male,Hispanic / Latino,Brazil
5,Somewhat important,5,5,41-50 years,Male,I’d prefer not to say,Russia
4,Somewhat important,5,5,31-40 years,Male,Hispanic / Latino,United States
2,Somewhat important,4,4,51-60 years,Female,Hispanic / Latino,Mexico
5,Somewhat important,4,4,41-50 years,Male,White,France
4,Somewhat important,5,4,26-30 years,Non-binary,White,United States
5,Somewhat important,4,5,51-60 years,Male,White,United States
2,Somewhat important,2,4,51-60 years,Male,Mixed ethnicity,Mexico
1,Somewhat important,4,2,31-40 years,Female,White,United States
1,Somewhat important,2,2,31-40 years,Male,White,United States
5,Somewhat important,4,4,41-50 years,Male,Mixed ethnicity,United States
4,Somewhat important,5,2,31-40 years,Male,White,United States
5,Somewhat important,5,5,31-40 years,Male,White,Switzerland
3,Somewhat important,2,2,26-30 years,Female,White,Switzerland
2,Somewhat important,2,2,41-50 years,Female,White,United States
4,Somewhat important,2,4,31-40 years,Female,White,Switzerland
2,Somewhat important,2,2,26-30 years,Male,White,United Kingdom
4,Somewhat important,1,1,41-50 years,Male,White,Denmark
3,Somewhat important,2,2,61-70 years,Male,Mixed ethnicity,United Kingdom
4,Somewhat important,4,4,41-50 years,Male,White,United Kingdom
5,Somewhat important,4,4,41-50 years,Female,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Male,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Female,White,United Kingdom
4,Somewhat important,5,5,61-70 years,Male,White,United Kingdom
4,Somewhat important,1,2,31-40 years,Female,White,United Kingdom
2,Somewhat important,2,5,61-70 years,Female,White,United Kingdom
4,Somewhat important,2,2,31-40 years,Female,White,United Kingdom
3,Somewhat important,5,5,51-60 years,Female,White,United Kingdom
5,Somewhat important,4,4,51-60 years,Male,Hispanic / Latino,Spain
4,Somewhat important,2,1,31-40 years,Male,White,United Kingdom
2,Somewhat important,1,2,31-40 years,Female,Asian,United Kingdom
4,Somewhat important,1,2,26-30 years,Male,White,United Kingdom
4,Somewhat important,4,4,31-40 years,Male,White,United Kingdom
2,Somewhat important,2,5,41-50 years,Male,Hispanic / Latino,Chile
5,Somewhat important,5,5,31-40 years,Male,White,Germany
4,Somewhat important,4,4,41-50 years,I prefer to self-describe,I’d prefer not to say,United Kingdom
3,Somewhat important,1,1,31-40 years,Male,Black / African American / Caribbean,Nigeria
4,Somewhat important,1,2,26-30 years,Male,White,United Kingdom
5,Somewhat important,4,4,51-60 years,Male,Asian,India
4,Somewhat important,4,4,61-70 years,Male,White,Uruguay
2,Somewhat important,2,2,31-40 years,Female,White,United States
2,Somewhat important,2,2,31-40 years,Female,White,United States
2,Somewhat important,1,1,31-40 years,Female,White,United Kingdom
5,Somewhat important,1,4,31-40 years,Female,White,Sweden
4,Somewhat important,2,4,31-40 years,Female,White,United Kingdom
4,Somewhat important,1,5,22-25 years,Female,Asian,United States
4,Somewhat important,5,5,61-70 years,Female,White,United States
5,Somewhat important,5,4,26-30 years,Female,White,United States
4,Somewhat important,1,4,26-30 years,Female,White,Slovenia
2,Somewhat important,4,4,31-40 years,Male,White,United Kingdom
4,Somewhat important,4,5,26-30 years,Female,White,Austria
5,Somewhat important,4,4,61-70 years,Female,White,United States
1,Somewhat important,1,1,41-50 years,Female,White,United States
5,Somewhat important,2,4,31-40 years,Male,White,United States
4,Somewhat important,4,5,41-50 years,I prefer to self-describe,White,United Kingdom
4,Somewhat important,4,4,61-70 years,Male,White,United States
4,Somewhat important,4,4,51-60 years,Male,White,Poland
4,Somewhat important,2,5,31-40 years,Male,White,Switzerland
2,Somewhat important,2,2,31-40 years,Female,White,United States
5,Somewhat important,5,5,26-30 years,Female,White,United States
3,Somewhat important,1,2,61-70 years,Male,I’d prefer not to say,Portugal
4,Somewhat important,1,4,31-40 years,Male,White,United States
5,Somewhat important,5,4,31-40 years,Female,White,United Kingdom
2,Somewhat important,2,4,26-30 years,Female,White,United States
4,Somewhat important,4,4,26-30 years,Male,White,United States
4,Somewhat important,4,5,31-40 years,Female,White,United States
1,Somewhat important,5,5,41-50 years,Male,White,United States
3,Somewhat important,1,4,31-40 years,Female,White,United States
3,Somewhat important,1,1,41-50 years,Female,Hispanic / Latino,United States
4,Somewhat important,2,4,51-60 years,Male,Hispanic / Latino,Colombia
2,Somewhat important,4,4,41-50 years,Female,White,United States
4,Somewhat important,2,4,31-40 years,Male,White,United States
1,Somewhat important,1,4,31-40 years,Female,Hispanic / Latino,Germany
5,Somewhat important,4,5,51-60 years,Male,Asian,United States
5,Somewhat important,5,5,41-50 years,Female,Hispanic / Latino,Brazil
3,Somewhat important,5,5,31-40 years,Female,Hispanic / Latino,United States
5,Somewhat important,5,5,41-50 years,Male,Hispanic / Latino,United States
4,Somewhat important,2,2,26-30 years,Female,White,United Kingdom
4,Somewhat important,2,4,22-25 years,Male,White,United States
2,Somewhat important,1,1,31-40 years,Male,White,United States
4,Somewhat important,5,5,26-30 years,Male,Asian,United States
4,Somewhat important,4,4,31-40 years,Male,White,United Kingdom
2,Somewhat important,2,2,31-40 years,Male,Asian,United States
4,Somewhat important,5,5,41-50 years,Male,White,Switzerland
2,Somewhat important,1,1,26-30 years,Male,White,Germany
4,Somewhat important,4,5,31-40 years,Male,Hispanic / Latino,Brazil
1,Somewhat important,2,1,41-50 years,Male,Asian,United States
1,Somewhat important,2,2,31-40 years,Male,White,United States
4,Somewhat important,4,4,41-50 years,Male,White,United States
5,Somewhat important,2,4,31-40 years,Female,Mixed ethnicity,United States
5,Somewhat important,4,4,51-60 years,Female,White,Switzerland
4,Somewhat important,4,1,26-30 years,Female,White,United States
4,Somewhat important,4,4,41-50 years,Female,White,United States
4,Somewhat important,4,1,31-40 years,Female,White,United States
4,Somewhat important,4,5,22-25 years,Female,Mixed ethnicity,United States
2,Somewhat important,2,1,22-25 years,Non-binary,White,United States
2,Somewhat important,4,5,26-30 years,Male,Hispanic / Latino,Brazil
4,Somewhat important,2,2,26-30 years,Female,White,Canada
4,Somewhat important,4,4,26-30 years,Male,Mixed ethnicity,United States
4,Somewhat important,4,4,51-60 years,Female,White,Italy
4,Somewhat important,4,4,41-50 years,Female,White,New Zealand
5,Somewhat important,5,4,41-50 years,Male,Hispanic / Latino,United States
3,Somewhat important,4,5,41-50 years,Female,White,United States
1,Somewhat important,1,2,41-50 years,Male,White,United Kingdom
1,Somewhat important,1,1,31-40 years,Male,White,United States
5,Somewhat important,4,4,31-40 years,Male,White,Ireland
5,Somewhat important,5,4,71-80 years,Male,White,United States
1,Somewhat important,5,1,31-40 years,Male,White,United States
4,Somewhat important,4,4,61-70 years,Male,Asian,India
4,Somewhat important,4,4,41-50 years,Male,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Male,White,Brazil
4,Somewhat important,2,1,61-70 years,Female,White,United Kingdom
4,Somewhat important,2,2,26-30 years,Male,White,United States
1,Somewhat important,4,2,61-70 years,Male,White,Brazil
2,Somewhat important,2,2,41-50 years,Male,Hispanic / Latino,United States
4,Somewhat important,4,4,26-30 years,Female,White,Australia
5,Somewhat important,5,4,61-70 years,Male,White,Ireland
2,Somewhat important,5,4,51-60 years,Female,White,Belgium
5,Somewhat important,4,4,41-50 years,Female,White,Australia
2,Somewhat important,4,4,31-40 years,Female,White,United States
3,Somewhat important,5,4,31-40 years,Female,White,Singapore
4,Somewhat important,5,4,22-25 years,Female,White,United States
4,Somewhat important,2,2,41-50 years,Female,White,United States
2,Somewhat important,1,2,31-40 years,Male,White,United States
1,Somewhat important,1,1,31-40 years,Male,White,United States
5,Somewhat important,4,5,31-40 years,Female,White,United States
5,Somewhat important,4,5,61-70 years,Male,White,United States
4,Somewhat important,2,4,31-40 years,Male,White,United States
2,Somewhat important,1,2,26-30 years,Female,Hispanic / Latino,Mexico
1,Somewhat important,1,4,31-40 years,Female,White,United States
1,Somewhat important,4,1,61-70 years,Male,White,Sweden
4,Somewhat important,2,2,61-70 years,Male,White,Australia
1,Somewhat important,1,2,31-40 years,Male,White,United States
4,Somewhat important,5,4,31-40 years,Male,White,United States
1,Somewhat important,1,2,31-40 years,Male,Asian,Sri Lanka
4,Somewhat important,2,5,31-40 years,Male,White,United Kingdom
5,Somewhat important,2,5,41-50 years,Female,White,United States
4,Somewhat important,5,5,41-50 years,Female,White,Netherlands
4,Somewhat important,1,2,31-40 years,Female,White,Finland
2,Somewhat important,1,1,51-60 years,Male,White,Italy
2,Somewhat important,5,2,31-40 years,Female,White,Germany
5,Somewhat important,4,4,26-30 years,Female,White,Italy
4,Somewhat important,2,4,31-40 years,Male,Asian,"China, Republic of"
2,Somewhat important,1,2,51-60 years,Male,White,United States
2,Somewhat important,2,2,51-60 years,Female,White,Germany
5,Somewhat important,1,4,26-30 years,Female,White,Germany
2,Somewhat important,1,1,41-50 years,Female,White,Spain
5,Somewhat important,4,5,26-30 years,Male,White,United Kingdom
5,Somewhat important,4,4,31-40 years,Male,White,Belgium
4,Somewhat important,4,4,61-70 years,Male,White,Norway
2,Somewhat important,1,2,51-60 years,Female,White,Italy
5,Somewhat important,2,4,41-50 years,Male,White,Switzerland
4,Somewhat important,2,2,41-50 years,Male,White,Italy
4,Somewhat important,1,2,26-30 years,Male,White,United Kingdom
5,Somewhat important,4,4,41-50 years,Female,Pacific islander,United Kingdom
2,Somewhat important,1,2,51-60 years,Female,White,United Kingdom
4,Somewhat important,4,4,31-40 years,Male,White,United Kingdom
4,Somewhat important,4,4,31-40 years,Female,Black / African American / Caribbean,United Kingdom
2,Somewhat important,1,1,61-70 years,Female,White,Ireland
1,Somewhat important,2,4,41-50 years,Male,White,Spain
2,Somewhat important,2,2,31-40 years,Female,White,United Kingdom
1,Somewhat important,1,1,61-70 years,Male,White,Spain
2,Somewhat important,1,2,31-40 years,Female,White,Germany
2,Somewhat important,1,1,26-30 years,Female,White,United Kingdom
4,Somewhat important,1,4,22-25 years,Female,White,United States
4,Somewhat important,5,4,26-30 years,Female,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Male,White,Germany
5,Somewhat important,4,5,51-60 years,Female,White,United States
1,Somewhat important,1,2,31-40 years,Non-binary,Mixed ethnicity,United Kingdom
4,Somewhat important,1,1,61-70 years,Male,I prefer to self-describe,United Kingdom
4,Somewhat important,4,4,41-50 years,Male,White,Andorra
2,Somewhat important,2,2,41-50 years,Female,Asian,United Kingdom
4,Somewhat important,4,4,31-40 years,Female,White,Malta
5,Somewhat important,5,4,26-30 years,Male,White,United States
4,Somewhat important,4,4,41-50 years,Female,White,United Kingdom
2,Somewhat important,2,4,26-30 years,Female,White,United States
2,Somewhat important,4,4,61-70 years,Male,White,Norway
4,Somewhat important,1,4,31-40 years,Female,White,Germany
2,Somewhat important,1,2,26-30 years,Male,White,Poland
4,Somewhat important,4,4,31-40 years,Male,White,Switzerland
2,Somewhat important,4,4,61-70 years,Male,White,United States
2,Somewhat important,1,2,31-40 years,Male,Asian,United States
4,Somewhat important,4,4,41-50 years,Male,Asian,Taiwan
2,Somewhat important,2,1,41-50 years,Male,Asian,India
4,Somewhat important,4,2,41-50 years,Female,Asian,Indonesia
4,Somewhat important,1,4,31-40 years,Male,White,Netherlands
5,Somewhat important,4,4,41-50 years,Female,White,United Kingdom
5,Somewhat important,4,5,31-40 years,Female,White,United States
5,Somewhat important,4,4,31-40 years,Female,White,United States
1,Somewhat important,1,1,31-40 years,Male,White,Germany
4,Somewhat important,4,5,31-40 years,Female,White,United States
5,Somewhat important,2,4,26-30 years,Non-binary,White,Japan
3,Somewhat important,2,2,41-50 years,Male,I’d prefer not to say,United Kingdom
1,Somewhat important,1,2,41-50 years,Female,White,United Kingdom
2,Somewhat important,1,2,31-40 years,Male,White,United States
4,Somewhat important,4,2,51-60 years,Female,Pacific islander,New Zealand
4,Somewhat important,4,5,31-40 years,Female,Asian,United States
4,Somewhat important,2,4,41-50 years,Male,White,United States
4,Somewhat important,4,4,51-60 years,Female,White,Canada
5,Somewhat important,5,5,26-30 years,Female,White,Canada
2,Somewhat important,4,1,41-50 years,Male,White,Colombia
4,Somewhat important,4,4,26-30 years,Male,White,Germany
4,Somewhat important,2,5,31-40 years,Male,I’d prefer not to say,Norway
4,Somewhat important,4,4,31-40 years,Male,Asian,Norway
3,Somewhat important,2,4,31-40 years,Female,White,Norway
1,Somewhat important,1,2,31-40 years,Male,White,Canada
3,Somewhat important,4,4,31-40 years,Male,White,United Kingdom
2,Somewhat important,1,2,26-30 years,Female,White,United Kingdom
4,Somewhat important,5,4,26-30 years,Male,White,United Kingdom
1,Somewhat important,1,1,41-50 years,Female,Hispanic / Latino,United Kingdom
4,Somewhat important,2,5,26-30 years,Female,White,South Africa
4,Somewhat important,2,2,31-40 years,Female,White,Germany
5,Somewhat important,4,4,31-40 years,Female,White,United States
4,Somewhat important,4,4,26-30 years,Female,White,United States
2,Somewhat important,2,2,31-40 years,Male,White,United States
4,Somewhat important,2,1,41-50 years,Male,Asian,India
5,Somewhat important,4,4,31-40 years,Male,White,Sweden
2,Somewhat important,2,4,31-40 years,Female,White,United States
4,Somewhat important,4,2,31-40 years,Female,Asian,Singapore
4,Somewhat important,4,1,31-40 years,Female,White,Austria
4,Somewhat important,5,5,31-40 years,Male,White,Italy
4,Somewhat important,4,4,31-40 years,Female,White,Germany
3,Somewhat important,2,2,26-30 years,Male,White,United Kingdom
5,Somewhat important,5,5,31-40 years,Male,I’d prefer not to say,Hungary
2,Somewhat important,1,4,31-40 years,Male,Hispanic / Latino,Brazil
4,Somewhat important,4,4,31-40 years,Male,White,United States
5,Somewhat important,5,5,26-30 years,Male,White,United States
4,Somewhat important,5,2,31-40 years,Female,White,United States
4,Somewhat important,4,2,41-50 years,Female,White,United States
1,Somewhat important,2,1,41-50 years,Female,White,United States
5,Somewhat important,5,4,31-40 years,Female,Black / African American / Caribbean,Canada
4,Somewhat important,4,2,26-30 years,Female,White,United States
2,Somewhat important,1,2,26-30 years,Female,White,United States
2,Somewhat important,4,4,41-50 years,Female,White,Australia
2,Somewhat important,2,4,31-40 years,Male,White,Finland
4,Somewhat important,5,4,22-25 years,Male,White,United States
5,Somewhat important,4,5,31-40 years,Male,I prefer to self-describe,Germany
4,Somewhat important,4,4,31-40 years,Female,White,New Zealand
2,Somewhat important,1,4,31-40 years,Male,White,Austria
4,Somewhat important,2,2,31-40 years,Female,White,United Kingdom
4,Somewhat important,4,4,31-40 years,Female,White,France
2,Somewhat important,2,1,31-40 years,Female,White,United States
2,Somewhat important,1,1,31-40 years,Female,Hispanic / Latino,Germany
2,Somewhat important,1,4,31-40 years,Female,White,Portugal
4,Somewhat important,4,4,31-40 years,Male,Black / African American / Caribbean,Netherlands
5,Somewhat important,4,4,41-50 years,Male,White,Japan
4,Somewhat important,4,5,26-30 years,Female,White,United Kingdom
4,Somewhat important,4,2,26-30 years,Female,White,United States
2,Somewhat important,2,2,51-60 years,Female,White,South Africa
5,Somewhat important,4,4,31-40 years,Female,White,United States
4,Somewhat important,2,5,41-50 years,Male,White,Portugal
2,Somewhat important,1,1,51-60 years,Male,White,Switzerland
3,Somewhat important,2,2,51-60 years,Male,White,Denmark
2,Somewhat important,2,2,31-40 years,Male,White,Croatia
3,Somewhat important,2,2,31-40 years,Female,Asian,United States
1,Somewhat important,1,1,31-40 years,Male,White,Greece
2,Somewhat important,2,2,41-50 years,Male,White,United States
4,Somewhat important,4,4,31-40 years,Male,White,United States
2,Somewhat important,4,2,31-40 years,Female,White,United Kingdom
5,Somewhat important,5,4,41-50 years,Male,White,Canada
2,Somewhat important,1,2,31-40 years,Male,Black / African American / Caribbean,Uganda
4,Somewhat important,2,2,51-60 years,Male,White,Switzerland
5,Somewhat important,4,4,31-40 years,Male,White,France
4,Somewhat important,4,4,31-40 years,Female,White,United States
5,Somewhat important,5,4,31-40 years,Male,White,Sweden
4,Somewhat important,4,5,31-40 years,Male,White,United States
1,Somewhat important,4,1,41-50 years,Male,White,United States
2,Somewhat important,2,2,31-40 years,Male,White,Germany
4,Somewhat important,2,2,22-25 years,Female,Mixed ethnicity,United States
5,Somewhat important,4,4,31-40 years,Male,White,Germany
4,Somewhat important,1,4,31-40 years,Female,White,United States
1,Somewhat important,2,2,31-40 years,Female,White,United Kingdom
4,Somewhat important,1,4,41-50 years,Female,White,United Kingdom
1,Somewhat important,1,1,26-30 years,Male,White,United States
4,Somewhat important,2,4,31-40 years,Male,White,United Kingdom
3,Somewhat important,4,4,22-25 years,Female,I prefer to self-describe,New Zealand
5,Somewhat important,4,4,31-40 years,Female,White,United States
2,Somewhat important,2,4,51-60 years,Male,White,United States
1,Somewhat important,1,2,26-30 years,Male,Mixed ethnicity,Russia
4,Somewhat important,4,4,31-40 years,Female,White,United States
4,Somewhat important,5,4,31-40 years,Female,I prefer to self-describe,Germany
1,Somewhat important,1,1,26-30 years,Female,White,Germany
4,Somewhat important,4,4,31-40 years,Male,White,Germany
2,Somewhat important,2,4,26-30 years,Male,White,France
1,Somewhat important,1,2,31-40 years,Female,White,United States
4,Somewhat important,4,4,41-50 years,Female,Asian,Thailand
2,Somewhat important,2,2,51-60 years,Female,White,South Africa
2,Somewhat important,2,1,51-60 years,I’d prefer not to say,White,Germany
5,Somewhat important,4,4,26-30 years,Male,White,United States
5,Somewhat important,5,4,26-30 years,Male,White,United States
5,Somewhat important,4,4,26-30 years,Male,White,United States
2,Somewhat important,2,2,31-40 years,Male,White,United States
4,Somewhat important,4,4,31-40 years,Male,White,United States
4,Somewhat important,4,4,31-40 years,Male,White,United States
2,Somewhat important,1,4,31-40 years,Male,White,Ireland
5,Somewhat important,4,4,31-40 years,Male,White,Latvia
4,Somewhat important,4,5,31-40 years,Male,White,United States
4,Somewhat important,4,4,41-50 years,Female,White,United States
2,Somewhat important,4,4,41-50 years,Female,Asian,Japan
2,Somewhat important,1,2,31-40 years,Male,White,Germany
4,Somewhat important,4,4,31-40 years,Female,Mixed ethnicity,Germany
4,Somewhat important,4,2,31-40 years,Male,White,Denmark
5,Somewhat important,4,4,31-40 years,Male,Hispanic / Latino,United States
2,Somewhat important,5,2,26-30 years,Female,Asian,India
2,Somewhat important,1,1,51-60 years,Male,White,Germany
2,Somewhat important,4,4,31-40 years,Male,White,Poland
1,Somewhat important,1,2,31-40 years,Female,White,United Kingdom
4,Somewhat important,4,4,31-40 years,Female,Hispanic / Latino,Switzerland
4,Somewhat important,2,4,31-40 years,Female,White,Lithuania
4,Somewhat important,4,5,51-60 years,Male,White,United States
2,Somewhat important,1,5,31-40 years,Non-binary,White,Canada
4,Somewhat important,4,4,51-60 years,Female,White,Latvia
4,Somewhat important,2,5,31-40 years,Female,White,Germany
1,Somewhat important,1,4,61-70 years,Male,Hispanic / Latino,Venezuela
4,Somewhat important,2,5,31-40 years,Male,White,United States
5,Somewhat important,4,5,26-30 years,Male,White,United Kingdom
2,Somewhat important,2,2,26-30 years,Male,White,United Kingdom
5,Somewhat important,4,4,31-40 years,Male,Asian,Turkey
5,Somewhat important,4,4,31-40 years,Female,White,United Kingdom
4,Somewhat important,4,5,51-60 years,Male,White,United Kingdom
2,Somewhat important,4,4,31-40 years,Male,Black / African American / Caribbean,Zimbabwe
4,Somewhat important,2,4,61-70 years,Male,White,Iceland
5,Somewhat important,5,5,51-60 years,Male,White,United Kingdom
4,Somewhat important,4,2,31-40 years,Female,White,United Kingdom
4,Somewhat important,2,4,41-50 years,Female,White,United Kingdom
4,Somewhat important,2,2,61-70 years,Male,White,United Kingdom
2,Somewhat important,2,4,51-60 years,Female,White,United Kingdom
5,Somewhat important,4,5,18-21 years,Female,White,United Kingdom
4,Somewhat important,4,4,31-40 years,Female,Mixed ethnicity,Canada
4,Somewhat important,4,4,41-50 years,Male,White,Germany
4,Somewhat important,4,4,31-40 years,Male,White,United Kingdom
3,Somewhat important,4,4,51-60 years,Female,White,Germany
3,Somewhat important,2,2,26-30 years,Female,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Male,White,Portugal
4,Somewhat important,1,5,61-70 years,Male,White,Russia
4,Somewhat important,4,5,26-30 years,Female,Asian,United States
2,Somewhat important,2,4,22-25 years,Female,White,United Kingdom
4,Somewhat important,2,2,31-40 years,Male,Asian,Hong Kong
3,Somewhat important,2,2,31-40 years,Male,White,United Kingdom
4,Somewhat important,4,4,51-60 years,Male,White,United Kingdom
5,Somewhat important,5,5,31-40 years,Female,White,United Kingdom
4,Somewhat important,2,4,51-60 years,Male,White,United Kingdom
4,Somewhat important,2,2,51-60 years,Male,White,United States
4,Somewhat important,4,4,31-40 years,Male,White,United States
5,Somewhat important,5,4,31-40 years,Female,White,United States
5,Somewhat important,5,4,26-30 years,Female,White,Canada
5,Somewhat important,4,4,41-50 years,Male,White,Switzerland
4,Somewhat important,4,5,51-60 years,Male,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Female,White,United States
2,Somewhat important,2,2,41-50 years,Non-binary,White,United Kingdom
1,Somewhat important,1,2,51-60 years,Male,White,United States
2,Somewhat important,2,5,41-50 years,Female,White,Canada
5,Somewhat important,4,5,51-60 years,Female,White,United States
5,Somewhat important,4,4,31-40 years,Female,White,United Kingdom
4,Somewhat important,2,4,22-25 years,Female,White,United States
4,Somewhat important,5,5,41-50 years,Female,Hispanic / Latino,United States
2,Somewhat important,2,2,51-60 years,Female,White,France
4,Somewhat important,5,4,31-40 years,Male,White,United States
2,Somewhat important,2,4,31-40 years,Male,White,Ukraine
4,Somewhat important,4,4,61-70 years,Female,White,United States
4,Somewhat important,5,5,26-30 years,Male,White,Germany
4,Somewhat important,5,5,41-50 years,Female,White,United States
2,Somewhat important,2,2,51-60 years,Female,White,Romania
4,Somewhat important,2,4,51-60 years,Female,White,Australia
5,Somewhat important,5,4,41-50 years,Male,White,Belgium
5,Somewhat important,4,4,51-60 years,Female,White,United States
5,Somewhat important,5,5,22-25 years,Female,White,United States
4,Somewhat important,2,1,51-60 years,Male,White,United Kingdom
2,Somewhat important,1,1,41-50 years,Male,White,Australia
2,Somewhat important,1,1,31-40 years,Female,Asian,Singapore
1,Somewhat important,4,4,41-50 years,Female,Hispanic / Latino,Switzerland
4,Somewhat important,4,2,51-60 years,Female,White,United States
1,Somewhat important,1,2,41-50 years,Male,Asian,United States
5,Somewhat important,4,4,41-50 years,Female,White,New Zealand
5,Somewhat important,2,2,61-70 years,Male,White,Italy
2,Somewhat important,2,2,51-60 years,Male,I’d prefer not to say,United States
1,Somewhat important,4,4,31-40 years,Female,White,Brazil
4,Somewhat important,4,4,41-50 years,Male,White,Australia
1,Somewhat important,2,4,41-50 years,Female,White,Australia
2,Somewhat important,4,4,61-70 years,Male,White,Australia
5,Somewhat important,4,5,61-70 years,Female,White,United States
2,Somewhat important,2,4,61-70 years,Female,White,United States
2,Somewhat important,2,2,51-60 years,Female,White,Australia
2,Somewhat important,2,4,51-60 years,Female,Hispanic / Latino,Mexico
2,Somewhat important,4,2,41-50 years,Female,White,Japan
5,Somewhat important,5,5,61-70 years,Male,White,United States
5,Somewhat important,4,4,41-50 years,Male,White,Australia
1,Somewhat important,1,1,51-60 years,Male,White,South Africa
1,Somewhat important,1,1,41-50 years,Male,Asian,India
5,Somewhat important,4,4,31-40 years,Male,Hispanic / Latino,United States
4,Somewhat important,4,4,41-50 years,Female,White,South Africa
3,Somewhat important,2,2,31-40 years,Male,Asian,India
4,Somewhat important,4,4,51-60 years,Female,White,Belgium
4,Somewhat important,4,5,26-30 years,Female,White,Germany
5,Somewhat important,4,5,41-50 years,Female,White,United Kingdom
4,Somewhat important,4,4,41-50 years,Male,I’d prefer not to say,France
1,Somewhat important,1,1,31-40 years,Female,Asian,Thailand
2,Somewhat important,2,2,41-50 years,Male,White,South Africa
1,Somewhat important,1,2,41-50 years,Female,White,Ireland
4,Somewhat important,1,4,51-60 years,Male,White,South Africa
4,Somewhat important,5,4,41-50 years,Male,I prefer to self-describe,India
5,Somewhat important,4,4,41-50 years,Male,White,Brazil
5,Somewhat important,2,4,31-40 years,Female,Hispanic / Latino,France
2,Somewhat important,2,2,41-50 years,Female,White,France
5,Somewhat important,4,4,26-30 years,Male,White,France
5,Somewhat important,5,4,41-50 years,Male,Hispanic / Latino,Colombia
2,Somewhat important,2,1,61-70 years,Male,White,Spain
4,Somewhat important,1,2,41-50 years,Female,White,United States
5,Somewhat important,4,4,26-30 years,Male,White,Switzerland
3,Somewhat important,1,2,31-40 years,Male,Hispanic / Latino,Spain
3,Somewhat important,1,2,31-40 years,Male,Mixed ethnicity,Spain
5,Somewhat important,4,4,26-30 years,Female,White,United Kingdom
4,Somewhat important,4,4,61-70 years,Female,White,Germany
5,Somewhat important,1,4,61-70 years,Female,White,United States
5,Somewhat important,2,5,31-40 years,Female,White,United States
4,Somewhat important,4,4,26-30 years,Male,Asian,United States
4,Somewhat important,4,4,41-50 years,Male,White,Ukraine
4,Somewhat important,4,4,41-50 years,Male,White,South Africa
4,Somewhat important,2,4,31-40 years,Female,White,Switzerland
1,Somewhat important,1,2,41-50 years,Female,I’d prefer not to say,United States
2,Somewhat important,2,2,41-50 years,Female,I’d prefer not to say,New Zealand
4,Somewhat important,4,4,26-30 years,Female,Mixed ethnicity,Australia
4,Somewhat important,4,4,51-60 years,Female,Asian,Canada
4,Somewhat important,2,4,31-40 years,Female,White,Germany
2,Somewhat important,1,2,31-40 years,Female,White,Germany
4,Somewhat important,4,4,41-50 years,Female,White,United Kingdom
5,Somewhat important,4,4,41-50 years,Female,White,Netherlands
5,Somewhat important,5,4,31-40 years,Female,White,United States
4,Somewhat important,4,5,I’d prefer not to say,I’d prefer not to say,I’d prefer not to say,France
1,Somewhat important,1,1,26-30 years,Female,Asian,Pakistan
4,Somewhat important,2,4,41-50 years,Female,Hispanic / Latino,United States
4,Somewhat important,2,2,31-40 years,Male,White,Austria
4,Somewhat important,4,4,31-40 years,Female,White,United States
5,Somewhat important,5,4,31-40 years,Female,White,United States
5,Somewhat important,4,5,31-40 years,Male,White,Canada
4,Somewhat important,5,4,31-40 years,Non-binary,White,Germany
1,Somewhat important,1,1,31-40 years,Female,White,United Kingdom
4,Somewhat important,2,4,31-40 years,Female,Hispanic / Latino,Germany
5,Somewhat important,5,5,41-50 years,Female,White,Canada
5,Somewhat important,5,5,41-50 years,I’d prefer not to say,White,United States
4,Somewhat important,4,2,31-40 years,Female,Mixed ethnicity,United States
2,Somewhat important,5,4,31-40 years,Female,Asian,United States
3,Somewhat important,2,2,31-40 years,Female,White,Austria
4,Somewhat important,4,4,31-40 years,Female,White,United Kingdom
5,Somewhat important,4,4,31-40 years,Female,White,United States
2,Somewhat important,4,4,31-40 years,Female,Black / African American / Caribbean,Nigeria
4,Somewhat important,4,2,31-40 years,Female,White,United States
4,Somewhat important,1,2,31-40 years,Female,White,Brazil
